timestamp,user_id,hour_of_day,text_length,risk_score,is_anomaly
2026-09-23T14:42:50.018949,125c2220-0886-49d6-b87f-efa952becc51,14,53,17,False
2026-09-23T14:43:42.451981,125c2220-0886-49d6-b87f-efa952becc51,14,77,11,False
2026-09-23T14:48:05.172933,125c2220-0886-49d6-b87f-efa952becc51,14,77,12,False
2026-09-23T14:48:38.587514,125c2220-0886-49d6-b87f-efa952becc51,14,66,12,False
2026-09-23T14:49:32.495819,125c2220-0886-49d6-b87f-efa952becc51,14,74,17,False
2026-09-23T14:50:24.072637,125c2220-0886-49d6-b87f-efa952becc51,14,35,11,False
2026-09-23T14:50:55.126085,125c2220-0886-49d6-b87f-efa952becc51,14,58,2,False
2026-09-23T14:51:40.536932,125c2220-0886-49d6-b87f-efa952becc51,14,139,49,True
2026-09-23T15:03:59.501815,125c2220-0886-49d6-b87f-efa952becc51,15,139,50,True
2026-09-23T15:06:01.973182,125c2220-0886-49d6-b87f-efa952becc51,15,66,15,False
2026-09-23T15:11:44.392523,125c2220-0886-49d6-b87f-efa952becc51,15,66,9,False
2026-09-23T15:16:46.062273,125c2220-0886-49d6-b87f-efa952becc51,15,69,9,False
2026-09-23T15:18:23.560275,125c2220-0886-49d6-b87f-efa952becc51,15,251,32,False
2026-09-25T14:22:46.017362,8c956062-bf93-4c74-bd92-06f656c07cb6,14,366,16,False
2026-09-25T14:27:23.090848,8c956062-bf93-4c74-bd92-06f656c07cb6,14,366,18,False
2026-09-25T14:28:51.754497,8c956062-bf93-4c74-bd92-06f656c07cb6,14,366,18,False
2026-09-25T14:29:29.977171,8c956062-bf93-4c74-bd92-06f656c07cb6,14,366,18,False
2026-09-25T14:31:37.082470,8c956062-bf93-4c74-bd92-06f656c07cb6,14,366,18,False
2026-09-25T14:32:10.130462,8c956062-bf93-4c74-bd92-06f656c07cb6,14,366,18,False
2026-09-25T14:33:41.048279,3500e834-2ec3-4913-848d-6d0268c8c5e6,14,4,7,False
2026-09-25T14:34:42.442169,8c956062-bf93-4c74-bd92-06f656c07cb6,14,366,18,False
2026-09-25T14:35:17.427037,8c956062-bf93-4c74-bd92-06f656c07cb6,14,366,18,False
2026-09-25T14:37:10.815277,8c956062-bf93-4c74-bd92-06f656c07cb6,14,366,18,False
2026-09-25T14:37:58.949030,2631eca0-6513-4370-9b39-1b6333fc10d7,14,366,18,False
2026-09-25T14:38:37.676164,2631eca0-6513-4370-9b39-1b6333fc10d7,14,366,18,False
2026-09-25T14:38:57.514268,62357f75-6e1f-4ffd-86f3-76cf08a1066b,14,4,7,False
2026-09-25T14:38:59.828925,62357f75-6e1f-4ffd-86f3-76cf08a1066b,14,5,7,False
2026-09-25T14:40:43.883365,2631eca0-6513-4370-9b39-1b6333fc10d7,14,366,18,False
2026-09-25T14:43:57.199360,test_user,14,8,7,False
2026-09-25T14:45:50.560495,2631eca0-6513-4370-9b39-1b6333fc10d7,14,366,18,False
2026-09-25T14:47:43.317046,2631eca0-6513-4370-9b39-1b6333fc10d7,14,366,18,False
2026-09-25T14:47:44.802107,2631eca0-6513-4370-9b39-1b6333fc10d7,14,366,18,False
2026-09-25T14:47:49.472084,2631eca0-6513-4370-9b39-1b6333fc10d7,14,366,18,False
2026-09-25T14:48:42.003822,2631eca0-6513-4370-9b39-1b6333fc10d7,14,384,21,False
2026-09-25T14:51:12.063199,2631eca0-6513-4370-9b39-1b6333fc10d7,14,506,81,True
2026-09-25T14:52:14.322019,2631eca0-6513-4370-9b39-1b6333fc10d7,14,366,18,False
2026-09-25T14:53:20.599747,2631eca0-6513-4370-9b39-1b6333fc10d7,14,507,81,True
2026-09-25T14:54:02.199969,2631eca0-6513-4370-9b39-1b6333fc10d7,14,507,81,True
2026-09-25T14:54:45.630229,1bab0b64-4813-487e-9a95-9ceee9eea5ad,14,513,81,True
2026-09-25T14:55:00.948947,6741d8b8-8393-4e4d-bcbe-749b5f63df52,14,513,81,True
2026-09-25T14:57:37.617656,6741d8b8-8393-4e4d-bcbe-749b5f63df52,14,513,81,True
2026-09-25T14:58:03.826503,6741d8b8-8393-4e4d-bcbe-749b5f63df52,14,513,81,True
2026-09-25T14:58:15.612683,6741d8b8-8393-4e4d-bcbe-749b5f63df52,14,513,81,True
2026-09-25T15:06:21.210024,6741d8b8-8393-4e4d-bcbe-749b5f63df52,15,513,81,True
2026-09-25T15:06:38.892398,bf0946ca-20d8-4bb4-abd5-149c17c01a53,15,513,81,True
2026-09-25T15:06:57.203063,98be1f8f-0f12-44eb-850a-88e41896b721,15,513,81,True
2026-09-25T15:11:08.682931,98be1f8f-0f12-44eb-850a-88e41896b721,15,513,81,True
2026-09-25T15:16:04.324170,ada7e35a-7b67-4f25-999b-442a2539e719,15,89,21,False
2026-09-25T15:16:10.269132,d2113e51-1546-4460-80cb-552258ec892d,15,89,21,False
2026-09-25T15:16:14.139158,0eb46461-e96b-4b94-a674-aee0abec4342,15,89,21,False
2026-09-25T15:16:29.528301,cd6c6356-30a5-4a53-be21-0647e34d154f,15,513,81,True
2026-09-25T15:16:50.143630,cd6c6356-30a5-4a53-be21-0647e34d154f,15,513,81,True
2026-09-25T15:19:08.671015,cd6c6356-30a5-4a53-be21-0647e34d154f,15,513,81,True
